"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WLOAD","T3SELF","SCHLOC","T3PLACRE"
"3055","305512","2","6",11.766757150897,5.9649846515375,12.6004634099982,"2","2"
"3056","305601","2","4",11.3550114771939,8.97264018986657,14.1076021299558,"2","2"
"3056","305602","1","6",11.3765303042273,5.9649846515375,10.9542017579764,"2","2"
"3056","305605","1","4",10.1837887482586,10.8283322805793,13.434718692844,"2","2"
"3056","305606","2","3",11.7117535119382,8.3025291571092,13.3288416399107,"2","2"
"3056","305607","1","4",12.4583473048959,11.2070906903987,9.76022522476754,"2","2"
"3056","305608","1","5",11.766757150897,8.69473461106419,14.544848092309,"2","2"
"3056","305609","1","6",11.1537275171848,10.2837269930875,10.8725989788516,"2","2"
"3056","305610","1","3",14.0388612753671,9.00177545216037,13.5368404513853,"2","2"
"3056","305612","1","5",10.2930385694516,9.5172454773583,10.6983619918917,"2","2"
"3056","305614","1","5",11.5439543638546,9.12504002340337,13.3513006030301,"2","2"
"3056","305615","1","4",11.3685197529292,5.9649846515375,14.0841480031206,"2","2"
"3056","305619","1","2",13.8344933812729,8.84713444460098,13.2704946622855,"2","2"
"3056","305620","1","5",13.110914280717,9.5463807396521,14.2591285659709,"2","2"
"3057","305702","1","4",9.30749442820068,9.09590476110957,10.2410152932253,"1","1"
"3057","305703","1","5",8.01259458310065,11.5768844041277,14.7946857111,"1","1"
"3057","305704","2","5",10.1988386672357,6.24289023033989,15.5092644957646,"1","1"
"3057","305708","2","5",10.272819388069,7.38140663382064,8.50998303891224,"1","1"
"3057","305709","1","3",14.0388612753671,5.9649846515375,9.93117762753634,"1","1"
"3057","305710","1","3",11.2304919807682,12.6459244129078,14.0989903461764,"1","1"
"3057","305711","1","6",14.2818950120612,6.35719010549249,15.5092644957646,"1","1"
"3057","305712","1","4",11.5645604019626,6.0882492227805,11.5865141612085,"1","1"
"3057","305713","1","6",13.5353012191035,9.12504002340337,14.2584728793172,"1","1"
"3057","305714","1","5",11.3765303042273,8.81799918230718,11.2662537037369,"1","1"
"3057","305716","1","5",NA,NA,NA,"1","1"
"3058","305803","1","5",11.5439543638546,10.1514977257541,12.0245927164095,"2","1"
"3058","305804","1","5",12.7471202614735,11.3101846954383,12.9072271747814,"2","1"
"3058","305805","1","4",11.1872123291103,9.2483045946464,11.8470443354743,"2","1"
"3058","305806","2","6",11.3765303042273,10.3890621721497,13.5214501285467,"2","1"
"3058","305807","1","6",11.3765303042273,9.2483045946464,12.176264912344,"2","1"
"3058","305808","1","3",12.0084912419403,8.97264018986657,10.8826279320187,"2","1"
"3058","305809","1","4",12.7111810173808,6.79646021392207,12.2469066199607,"2","1"
"3058","305810","1","5",10.2930385694516,9.2774398569402,14.8035578251189,"2","1"
"3058","305811","1","4",11.7869881005487,6.39529006387668,14.7043185189794,"2","1"
"3058","305812","2","4",10.4405727582791,9.9184156274037,12.4600233680735,"2","1"
"3058","305813","1","6",9.88388041878099,9.6696453108951,13.2704946622855,"2","1"
"3058","305814","2","3",13.1122139263677,11.3101846954383,12.0491949625651,"2","1"
"3058","305815","1","4",11.1872123291103,11.8054841544329,10.9863146449835,"2","1"
"3058","305816","2","5",10.0126386358084,6.0882492227805,10.5548052160371,"2","1"
"3058","305817","2","2",11.1872123291103,8.97264018986657,10.9612914851628,"2","1"
"3058","305818","1","3",14.0590922250187,13.7440996839818,12.5056668062055,"2","1"
"3058","305819","1","4",8.53583612027781,9.239339898556,10.8929032302257,"2","1"
"3058","305820","1","5",11.598045213888,8.97264018986657,13.9720014512268,"2","1"
"3059","305901","1","5",13.8344933812729,9.6315453525109,11.4907529366445,"3","2"
"3059","305902","1","4",10.2089123055187,11.7023901493933,12.6144750789163,"3","2"
"3059","305903","1","5",12.9364382365905,8.97264018986657,15.5092644957646,"3","2"
"3059","305904","1","5",13.1793388824194,11.5768844041277,11.4127017905498,"3","2"
"3059","305905","1","6",11.1872123291103,10.1694271179349,12.4541618456596,"3","2"
"3059","305906","2","5",11.3765303042273,9.5172454773583,11.1662490392164,"3","2"
